"","p.geomean","stat.mean","p.val","q.val","set.size","GSM410672","GSM410673","GSM410674","GSM410675","GSM410676","GSM410677"
"hsa00564 Glycerophospholipid metabolism",0.103907604078441,1.2566278607163,0.00110026337814113,0.00560446658240639,74,0.160128510026905,0.146613301318541,0.0992017797537446,0.11343636407073,0.0550679870699463,0.0865109311316309
"hsa04520 Adherens junction",0.10724911388022,1.22997642765879,0.00135891744553718,0.00671222859462304,71,0.0847624364020938,0.110284002047044,0.189831148771706,0.0959327182947696,0.182076840439528,0.049097275340761
"hsa00531 Glycosaminoglycan degradation",0.113817755730106,1.2128822087794,0.0018010225308448,0.0086343138978736,18,0.0908147350070396,0.0460493937745964,0.177120042693549,0.175819493888755,0.158141073117141,0.105560260868831
"hsa04270 Vascular smooth muscle contraction",0.113380181231284,1.18307241851729,0.00193844033975802,0.00902759358230164,107,0.144345385247318,0.0915892521768634,0.0316054568742161,0.225554758374673,0.140901995335834,0.159972103193437
"hsa04722 Neurotrophin signaling pathway",0.12142697197867,1.15705516217892,0.00236476237889986,0.0107071185489077,124,0.0886905903150385,0.208635767491208,0.199758828649707,0.0792744942363933,0.123851847047834,0.0883248139340578
"hsa04976 Bile secretion",0.126557764651321,1.14387358779094,0.00268773062244879,0.0118405430124095,70,0.0771274844378339,0.103277288897079,0.143107579545057,0.149425625211907,0.172522003804667,0.139825559288937
"hsa04672 Intestinal immune network for IgA production",0.126535279636339,1.13380467741489,0.00294318005458906,0.0126246933920531,45,0.294084309843332,0.0835253494993588,0.121122146165769,0.117807786251451,0.128403560808297,0.0912021337333019
"hsa00760 Nicotinate and nicotinamide metabolism",0.13163722766978,1.12623428140629,0.0033454823735937,0.0139824006896352,23,0.132906895748529,0.105950594281255,0.101261518690249,0.145211575408771,0.0990792879140946,0.253625491734605
"hsa03320 PPAR signaling pathway",0.135437891439263,1.10581164468437,0.00358484226314304,0.0146082322223079,67,0.101232114193526,0.150735523353126,0.163488012945869,0.110318318923245,0.162956951901182,0.137626079882172
"hsa00920 Sulfur metabolism",0.136631607418644,1.11375865544834,0.00408473762939797,0.0162393227705334,11,0.0660131482587297,0.198486420625613,0.166544918632516,0.108038815291764,0.21953261646664,0.125700083802462
"hsa04720 Long-term potentiation",0.145589829369708,1.04787009972012,0.0053568029270043,0.02078949707385,68,0.108546835437876,0.220058560840088,0.0871326449344329,0.178747535757277,0.219699913005906,0.116514490847658
"hsa04966 Collecting duct acid secretion",0.149073629487325,1.05502969862774,0.00554575177452139,0.0210222683545811,26,0.202314299340552,0.118377548565013,0.172401516278966,0.13813167741714,0.148615076431393,0.129482714238364
"hsa00380 Tryptophan metabolism",0.143636913542849,1.03308595113091,0.00603462642364267,0.0223555478875854,42,0.0750548661225796,0.236222945972312,0.188352827489396,0.0647970006181683,0.119567312643631,0.339434463583011
"hsa00480 Glutathione metabolism",0.147579603056018,1.0235850351018,0.00636745301096142,0.0230643297952603,47,0.0760288838369595,0.25576566192944,0.140062232284262,0.121929975981842,0.0979592252596952,0.317585233678582
"hsa00603 Glycosphingolipid biosynthesis - globo series",0.156615210060627,1.02136161051113,0.00712486223840234,0.0252387475082955,14,0.147607791034888,0.160853250109775,0.186346072212649,0.212628417699654,0.175833522397669,0.0892115891646305
"hsa04020 Calcium signaling pathway",0.138902982308878,0.999803247661104,0.00727743026312815,0.0252387475082955,172,0.07977845289769,0.205813410175533,0.0179235326163682,0.303053783503019,0.292723680556771,0.275111639714207
"hsa00532 Glycosaminoglycan biosynthesis - chondroitin sulfate",0.155635143725181,1.00668938816715,0.00753718613965656,0.0255950279325837,22,0.312077351564365,0.171605196941378,0.201311923928266,0.129661577582448,0.088289138808305,0.115150348689221
"hsa04666 Fc gamma R-mediated phagocytosis",0.155447294599727,0.987924230932762,0.00795154582121595,0.0264510605889429,91,0.17902644261595,0.22342405551742,0.281978768770763,0.215828105363895,0.0793788649903757,0.0730167674495449
"hsa04650 Natural killer cell mediated cytotoxicity",0.152024984223216,0.967235720535892,0.0090841208782021,0.0296142340629389,127,0.174965734058611,0.329851109357163,0.123758731482176,0.212971947769286,0.294319427867256,0.0275741203793976
"hsa00330 Arginine and proline metabolism",0.166845911654521,0.960896353173116,0.00961641032891237,0.030734801639465,49,0.115613498150817,0.173736293263891,0.194740154157966,0.120748749358406,0.164224658390354,0.278110768059217
"hsa04964 Proximal tubule bicarbonate reclamation",0.170543594234356,0.96670951127353,0.0101200468465595,0.0317224545382538,22,0.201089439193898,0.124213855121714,0.154211730732373,0.212655021860606,0.19212263101209,0.156344132060635
"hsa04210 Apoptosis",0.165993581722406,0.945694054825567,0.0104769821831065,0.0322216621857803,87,0.103524782070074,0.366948228335225,0.103122530491842,0.129657110021805,0.19440957437209,0.21185128751989
"hsa04975 Fat digestion and absorption",0.17986535608627,0.913458669674751,0.0131978745219899,0.0398380286497103,41,0.266542440511927,0.114959138368658,0.164342022309152,0.231845250838562,0.161447527490861,0.179637512098081
"hsa04612 Antigen processing and presentation",0.187462388250772,0.880906473281887,0.0158182296925164,0.0468794807250941,65,0.137908734647165,0.26402007701871,0.194017742524695,0.147931749279812,0.2674549353899,0.155275411962703
"hsa04912 GnRH signaling pathway",0.18781650195134,0.87519257042983,0.0162553105822884,0.0473145647305896,92,0.139254171020845,0.21665616858794,0.142154593390049,0.331745058689134,0.176701677444789,0.174589122519063
"hsa00630 Glyoxylate and dicarboxylate metabolism",0.192251318957076,0.870891073911996,0.0177053152550479,0.0506309892381195,18,0.144845248028581,0.173966212629208,0.327874192964384,0.177666859377747,0.163676303580638,0.210158683420682
"hsa00910 Nitrogen metabolism",0.203548362360604,0.839770056274901,0.0216084949162629,0.0607273219198422,22,0.213683090929439,0.148643739672182,0.202130046611859,0.19495810362598,0.226162980571355,0.251243716283346
"hsa04970 Salivary secretion",0.182594879420566,0.819820940443397,0.0227756167303835,0.062922466560212,80,0.114265572201976,0.152445785687726,0.0442539127597097,0.470829800655542,0.429549056634631,0.237723631388273
"hsa04662 B cell receptor signaling pathway",0.193522523552677,0.805539052323469,0.0247306721603932,0.0662369851880575,75,0.37728364257245,0.165767395210849,0.318011429253188,0.342868672597463,0.166164438030372,0.0463567952148707
"hsa00511 Other glycan degradation",0.196468420065806,0.817938748407663,0.0247880742114816,0.0662369851880575,15,0.13144374126485,0.0983687556242976,0.150403096483162,0.442611353472882,0.398913461037739,0.167494830593264
"hsa00590 Arachidonic acid metabolism",0.215954616112434,0.782832704801649,0.0282361524519728,0.0742337556398639,51,0.219066092281396,0.251905887977113,0.14130813128447,0.268272981770709,0.189182782026043,0.256292426547879
"hsa00140 Steroid hormone biosynthesis",0.224395617277348,0.757111249617366,0.0327746947945987,0.0847980198653904,41,0.215213094608099,0.315898669305544,0.180647343357039,0.190534660280637,0.233748426292213,0.23340785555583
"hsa00533 Glycosaminoglycan biosynthesis - keratan sulfate",0.223196919183289,0.743317276381198,0.03684542098652,0.090030332493041,15,0.240245346343248,0.329372169444732,0.396817178762375,0.247397053546799,0.126101049911778,0.126207045269207
"hsa04330 Notch signaling pathway",0.212505003759701,0.73246358786523,0.0373844851578444,0.090030332493041,46,0.0413440890211386,0.186850399192158,0.342830603744213,0.299966774704628,0.295182562035435,0.39270286691831
"hsa04914 Progesterone-mediated oocyte maturation",0.230025141886295,0.728866788454819,0.0374657832427582,0.090030332493041,84,0.294216738962132,0.159709091294785,0.156992930080654,0.301754723204602,0.255821937053041,0.260125466823369
"hsa00565 Ether lipid metabolism",0.229535834340643,0.732827718587405,0.0377066806759147,0.090030332493041,31,0.302911451287544,0.212339958104251,0.335227057583184,0.24463751547171,0.132540159685535,0.209192419623783
"hsa00310 Lysine degradation",0.225275679609858,0.728803835099515,0.0378948158752866,0.090030332493041,44,0.254234268248119,0.217679574557609,0.331859867680668,0.140223080438865,0.126724255515741,0.400497763164045
"hsa04070 Phosphatidylinositol signaling system",0.230013455810079,0.725912805649974,0.0381109996442934,0.090030332493041,75,0.161802181987886,0.179871990572662,0.196283097222061,0.379099682073343,0.26711096688625,0.256002084437906
"hsa00230 Purine metabolism",0.216290441740948,0.706776290293502,0.0419692528896228,0.0977284031572646,154,0.165578560439357,0.251689421086194,0.119961221065351,0.123873219727571,0.250720729569434,0.659396070640589
