"","p.geomean","stat.mean","p.val","q.val","set.size","GSM410672","GSM410673","GSM410674","GSM410675","GSM410676","GSM410677"
"GO:0002263 cell activation during immune response",0.0656499499285815,1.52390644062285,0.000156360726105965,0.00414355924180807,16,0.0999146285733415,0.0483350307149395,0.0335658947823498,0.0383514779684692,0.26627697270908,0.0483616793285275
"GO:0002366 leukocyte activation during immune response",0.0656499499285815,1.52390644062285,0.000156360726105965,0.00414355924180807,16,0.0999146285733415,0.0483350307149395,0.0335658947823498,0.0383514779684692,0.26627697270908,0.0483616793285275
"GO:0005975 carbohydrate metabolic process",0.067268115420483,1.45334507763097,0.000187992411056254,0.0045985835935299,466,0.160605153735887,0.0188868366357742,0.0725603639951857,0.198184608260772,0.0816480840503195,0.0260148597871839
"GO:0001990 regulation of systemic arterial blood pressure by hormone",0.0755117609814499,1.46849531354908,0.00022515434288512,0.00475842697066626,17,0.107605065533714,0.0662081300183083,0.0565627090648103,0.0779088298833383,0.095941827776835,0.0615486711530426
"GO:0002684 positive regulation of immune system process",0.0721833734522867,1.43030320951056,0.000239215217604091,0.00475842697066626,147,0.0166786649526882,0.0527099822683922,0.0781853866466056,0.0803053068995008,0.152473786922075,0.168075291271921
"GO:0002286 T cell activation during immune response",0.0740753368898698,1.49733574959746,0.000239417709215912,0.00475842697066626,11,0.0978742566596119,0.0694196420870655,0.0512608970804228,0.0397950524842722,0.20473283165395,0.0582221431489461
"GO:0001655 urogenital system development",0.0751968321533526,1.42044594746349,0.000280545575198492,0.00524785252430119,62,0.144190253954639,0.0531793226262954,0.180132294343309,0.0386714138144095,0.0300177468715126,0.112760980103534
"GO:0002521 leukocyte differentiation",0.0839289412346829,1.35387443689031,0.000472823482625725,0.00808119036589664,146,0.110768221212822,0.048011762898712,0.0626277427142924,0.034527731530494,0.220665388170312,0.137733191010479
"GO:0003018 vascular process in circulatory system",0.083959940422637,1.35382607737548,0.000501552919670417,0.00808119036589664,57,0.0277208384410061,0.0599549466912895,0.133107572037496,0.0606226888207591,0.102136114699607,0.25573140096459
"GO:0006486 protein amino acid glycosylation",0.0890355884872634,1.34577339469984,0.000508250966408594,0.00808119036589664,115,0.0742743791397311,0.0765082090563203,0.0737132174205073,0.11464761238648,0.0727290587081263,0.142631807584772
"GO:0006516 glycoprotein catabolic process",0.092676329594973,1.34437300810859,0.000717549743098574,0.0108657532526355,16,0.105058141490647,0.0303607518079032,0.0973901663557037,0.185048061605038,0.150843674920196,0.073070817306339
"GO:0002696 positive regulation of leukocyte activation",0.106714204005422,1.23128296416767,0.00134701937091883,0.0194705527250995,70,0.0570569390146621,0.0966356718736176,0.0811001813022716,0.0844953922107651,0.176217129601887,0.221811706020726
"GO:0001836 release of cytochrome c from mitochondria",0.118451246680445,1.21601226554805,0.00201321015321297,0.0278348186400749,13,0.0880314920295293,0.0672686870734277,0.147936463075961,0.145007159508768,0.165156642812176,0.131651580987575
"GO:0006458 'de novo' protein folding",0.126025516921083,1.16234993020638,0.00279946764973987,0.0339396273868376,13,0.164967128953591,0.114346179665779,0.16103404427247,0.179748550552984,0.0521441503717575,0.140715894817642
"GO:0006487 protein amino acid N-linked glycosylation",0.125748850692052,1.14113047690203,0.00281827914230133,0.0339396273868376,39,0.153998225755731,0.13346031783072,0.153680005457062,0.230395926493987,0.0893996033383643,0.0607754970032177
"GO:0006023 aminoglycan biosynthetic process",0.125457634853103,1.14840711322433,0.00288166647624093,0.0339396273868376,19,0.130163942738765,0.0588469515915428,0.0741324883051086,0.168447245769011,0.223202871645819,0.18263989130639
"GO:0006024 glycosaminoglycan biosynthetic process",0.125457634853103,1.14840711322433,0.00288166647624093,0.0339396273868376,19,0.130163942738765,0.0588469515915428,0.0741324883051086,0.168447245769011,0.223202871645819,0.18263989130639
"GO:0002694 regulation of leukocyte activation",0.126651733973453,1.11220407741518,0.00330186099787126,0.0374997070472522,111,0.0621239649773773,0.0851791393665362,0.105366176822786,0.135069221769324,0.15492359639402,0.353752270903645
"GO:0002250 adaptive immune response",0.131491777633403,1.10135613655361,0.00359474520508127,0.0394182405246843,92,0.0518681530921042,0.107622539296587,0.185053191262015,0.114590776956541,0.197283616468596,0.221335103203675
"GO:0006470 protein amino acid dephosphorylation",0.134151804734841,1.08814154292532,0.00392550547485492,0.0407223566413967,119,0.112343085672148,0.20838290541786,0.143319244271598,0.217260510098509,0.0496898544739633,0.160922826150025
"GO:0003006 reproductive developmental process",0.139005704549447,1.08306513583323,0.00408492358731176,0.0407223566413967,98,0.116282606192964,0.158434369653836,0.152422864331107,0.142992243750275,0.094555790305601,0.190011923446634
"GO:0003044 regulation of systemic arterial blood pressure mediated by a chemical signal",0.138224528528737,1.09530952435736,0.00409784720919715,0.0407223566413967,24,0.164460109578149,0.084154782390643,0.109545000105586,0.126893044503492,0.200553188178088,0.180763765351934
"GO:0002285 lymphocyte activation during immune response",0.132880152037133,1.10179217090839,0.00437611158267465,0.0421698025239557,14,0.164455684212888,0.114746389895155,0.0719776733691262,0.0890189463884666,0.421218752750538,0.108089828180012
"GO:0001570 vasculogenesis",0.146712638572677,1.04045188584872,0.0060114485971349,0.0562247251143794,22,0.301163901064378,0.0743592424632874,0.0891508494510535,0.176733503717135,0.207155273909841,0.136435356063054
"GO:0005976 polysaccharide metabolic process",0.150054936601035,1.02225233032191,0.00633242841755032,0.0575346353366,67,0.201588377593383,0.100670915625191,0.168328084831429,0.243877611481719,0.189722141238477,0.0722246897882787
"GO:0002460 adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",0.153136493537585,1.00786974371739,0.00693515300312768,0.0612605181942945,91,0.0690577397978333,0.123740572456142,0.219158752901654,0.140265354347859,0.22432563337002,0.218856562713918
"GO:0002685 regulation of leukocyte migration",0.15792295849975,1.02907006220645,0.00735187021331563,0.0631863439955235,11,0.0969205737305258,0.167491865973697,0.134171406635273,0.19326619576841,0.176899178967437,0.208314856017048
"GO:0006509 membrane protein ectodomain proteolysis",0.159427471935242,0.995584347003738,0.00807461426101046,0.0675717719737191,25,0.106349746177365,0.0889152282684431,0.1669895579617,0.216070982844088,0.204333053113204,0.2355276856797
"GO:0006497 protein amino acid lipidation",0.151462490192913,0.983830926637988,0.00836972550260541,0.0678519098383577,45,0.447015788751584,0.0584779856007337,0.136631054557452,0.197291440081561,0.196629505767645,0.0871382711220704
"GO:0003073 regulation of systemic arterial blood pressure",0.162813399535003,0.983749420716297,0.00857411310521735,0.0678519098383577,28,0.163443359116546,0.106034792705627,0.124374233197786,0.160876013116376,0.225616298350881,0.238085537436091
"GO:0002377 immunoglobulin production",0.162972350066792,0.978897625598202,0.00874820221186373,0.0678519098383577,30,0.167788013617157,0.223100320065342,0.170214582347589,0.154192942815924,0.0825445964517037,0.231032210544559
"GO:0001763 morphogenesis of a branching structure",0.179138596941407,0.917037688554653,0.0127731276372338,0.0967108235390559,44,0.137107731467524,0.159527694851867,0.173780312857152,0.146401729439244,0.25031499705529,0.237248417013254
"GO:0002443 leukocyte mediated immunity",0.162963150292245,0.911295317057905,0.0130837189065274,0.0967586654017605,95,0.0291585858101176,0.138971734264161,0.256573863633263,0.20435823676242,0.199003064970554,0.442974992003753
